 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.120                  3.023                  0.680              
   950.000                 -0.977                  2.864                  0.854              
   900.000                 -4.749                  2.040                  0.755              
   850.000                 -8.294                  1.357                  0.683              
   800.000                -11.928                  0.856                  0.588              
   750.000                -15.717                  0.490                  0.473              
   700.000                -19.775                  0.244                  0.379              
   650.000                -24.203                  0.116                  0.316              
   600.000                -29.059                  0.055                  0.274              
   550.000                -34.430                  0.026                  0.245              
   500.000                -40.472                  0.020                  0.266              
   450.000                -47.138                  0.017                  0.352              
   400.000                -54.455                  0.014                  0.495              
   350.000                -62.546                  0.013                  0.733              
   300.000                -71.155                  0.005                  0.820              
   250.000                -74.883                  0.003                  0.874              
   200.000                -73.411                  0.001                  0.313              
   150.000                -73.928                  0.001                  0.261              
   100.000                -72.122                  0.001                  0.139              
    80.000                -68.682                  0.001                  0.030              
    60.000                -60.973                  0.001                  0.008              
    40.000                -50.706                  0.001                  0.002              
    30.000                -42.456                  0.001                  0.001              
    25.000                -26.088                  0.001                  0.000              
