 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.978                  2.988                  0.633              
   950.000                 -1.119                  2.828                  0.806              
   900.000                 -4.904                  2.010                  0.730              
   850.000                 -8.461                  1.345                  0.641              
   800.000                -12.123                  0.848                  0.531              
   750.000                -15.907                  0.441                  0.391              
   700.000                -19.891                  0.221                  0.276              
   650.000                -24.336                  0.120                  0.207              
   600.000                -29.240                  0.065                  0.168              
   550.000                -34.635                  0.025                  0.136              
   500.000                -40.668                  0.019                  0.173              
   450.000                -47.333                  0.016                  0.289              
   400.000                -54.649                  0.014                  0.499              
   350.000                -62.734                  0.013                  0.919              
   300.000                -71.320                  0.004                  1.007              
   250.000                -74.966                  0.003                  1.001              
   200.000                -73.593                  0.001                  0.185              
   150.000                -74.149                  0.001                  0.149              
   100.000                -72.280                  0.001                  0.080              
    80.000                -68.805                  0.001                  0.041              
    60.000                -61.054                  0.001                  0.011              
    40.000                -50.762                  0.001                  0.002              
    30.000                -42.491                  0.001                  0.001              
    25.000                -26.079                  0.001                  0.000              
