  N levels =   24          CBMF=    20.678     SST=    7.48 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.300       3.263419     0.048    0.00       1.056
    950.0     0.217       3.089665     0.051    0.00       1.418
    900.0    -3.589       2.279982     0.053    0.00       1.434
    850.0    -7.104       1.552073     0.056    0.00       1.510
    800.0   -10.708       1.003216     0.057    0.00       1.624
    750.0   -14.463       0.572462     0.059    0.00       1.590
    700.0   -18.433       0.277327     0.060    0.00       1.464
    650.0   -22.804       0.149712     0.061    0.00       1.297
    600.0   -27.661       0.068257     0.063    0.00       1.096
    550.0   -33.015       0.035610     0.066    0.00       0.857
    500.0   -39.070       0.024514     0.069    0.00       0.727
    450.0   -45.768       0.021145     0.073    0.00       0.709
    400.0   -53.060       0.016071     0.077    0.00       0.565
    350.0   -61.121       0.013200     0.085    0.00       0.477
    300.0   -70.035       0.005417     0.096    0.00       0.212
    250.0   -74.310       0.003382     0.117    0.00       0.079
    200.0   -72.532       0.001000     0.153    0.00       0.027
    150.0   -73.119       0.001000     0.202    0.00      -0.000
    100.0   -71.489       0.001000     0.405    0.00      -0.008
     80.0   -68.143       0.001000     0.755    0.00      -0.025
     60.0   -60.473       0.001000     2.042    0.00      -0.064
     40.0   -50.323       0.001000     5.238    0.00      -0.114
     30.0   -42.215       0.001000     8.440    0.00      -0.155
     25.0   -26.147       0.001000    10.124    0.00      -0.235
