 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.300                  3.263                  0.645              
   950.000                  0.217                  3.090                  0.814              
   900.000                 -3.589                  2.280                  0.743              
   850.000                 -7.104                  1.552                  0.675              
   800.000                -10.708                  1.003                  0.561              
   750.000                -14.463                  0.572                  0.416              
   700.000                -18.433                  0.277                  0.307              
   650.000                -22.804                  0.150                  0.243              
   600.000                -27.661                  0.068                  0.212              
   550.000                -33.015                  0.036                  0.206              
   500.000                -39.070                  0.025                  0.254              
   450.000                -45.768                  0.021                  0.423              
   400.000                -53.060                  0.016                  0.685              
   350.000                -61.121                  0.013                  0.865              
   300.000                -70.035                  0.005                  1.016              
   250.000                -74.310                  0.003                  0.999              
   200.000                -72.532                  0.001                  0.175              
   150.000                -73.119                  0.001                  0.142              
   100.000                -71.489                  0.001                  0.084              
    80.000                -68.143                  0.001                  0.047              
    60.000                -60.473                  0.001                  0.015              
    40.000                -50.323                  0.001                  0.004              
    30.000                -42.215                  0.001                  0.001              
    25.000                -26.147                  0.001                  0.000              
