 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.017                  2.996                  0.671              
   950.000                 -1.081                  2.836                  0.846              
   900.000                 -4.864                  2.016                  0.750              
   850.000                 -8.417                  1.347                  0.674              
   800.000                -12.068                  0.853                  0.576              
   750.000                -15.853                  0.485                  0.458              
   700.000                -19.919                  0.235                  0.361              
   650.000                -24.333                  0.110                  0.297              
   600.000                -29.189                  0.055                  0.255              
   550.000                -34.575                  0.025                  0.223              
   500.000                -40.618                  0.019                  0.246              
   450.000                -47.284                  0.016                  0.333              
   400.000                -54.601                  0.014                  0.482              
   350.000                -62.690                  0.013                  0.771              
   300.000                -71.279                  0.004                  0.846              
   250.000                -74.952                  0.003                  0.892              
   200.000                -73.576                  0.001                  0.298              
   150.000                -74.131                  0.001                  0.248              
   100.000                -72.265                  0.001                  0.132              
    80.000                -68.791                  0.001                  0.031              
    60.000                -61.041                  0.001                  0.009              
    40.000                -50.752                  0.001                  0.002              
    30.000                -42.484                  0.001                  0.001              
    25.000                -26.081                  0.001                  0.000              
