 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.634                  3.352                  0.636              
   950.000                  0.549                  3.178                  0.804              
   900.000                 -3.266                  2.372                  0.741              
   850.000                 -6.800                  1.628                  0.661              
   800.000                -10.404                  1.033                  0.546              
   750.000                -14.106                  0.537                  0.392              
   700.000                -18.011                  0.258                  0.277              
   650.000                -22.392                  0.121                  0.203              
   600.000                -27.204                  0.064                  0.163              
   550.000                -32.620                  0.030                  0.141              
   500.000                -38.678                  0.022                  0.168              
   450.000                -45.341                  0.018                  0.298              
   400.000                -52.614                  0.013                  0.521              
   350.000                -60.699                  0.011                  0.757              
   300.000                -69.705                  0.006                  0.998              
   250.000                -74.288                  0.003                  1.002              
   200.000                -73.098                  0.001                  0.178              
   150.000                -74.130                  0.001                  0.154              
   100.000                -73.180                  0.001                  0.090              
    80.000                -70.587                  0.001                  0.050              
    60.000                -64.138                  0.001                  0.016              
    40.000                -55.483                  0.001                  0.004              
    30.000                -48.993                  0.001                  0.001              
    25.000                -37.490                  0.001                  0.000              
