  N levels =   24          CBMF=    21.313     SST=    7.35 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.125       3.216831     0.048    0.00       1.210
    950.0     0.041       3.043796     0.051    0.00       1.512
    900.0    -3.809       2.234932     0.053    0.00       1.506
    850.0    -7.361       1.531011     0.056    0.00       1.531
    800.0   -10.959       0.966925     0.057    0.00       1.618
    750.0   -14.645       0.524418     0.059    0.00       1.598
    700.0   -18.609       0.290964     0.060    0.00       1.512
    650.0   -23.036       0.134128     0.061    0.00       1.368
    600.0   -27.861       0.088308     0.063    0.00       1.186
    550.0   -33.231       0.040045     0.066    0.00       0.956
    500.0   -39.200       0.022794     0.069    0.00       0.839
    450.0   -45.876       0.022601     0.073    0.00       0.845
    400.0   -53.266       0.022218     0.077    0.00       0.731
    350.0   -61.427       0.015482     0.085    0.00       0.634
    300.0   -70.190       0.005279     0.096    0.00       0.361
    250.0   -74.301       0.003387     0.117    0.00       0.172
    200.0   -72.346       0.001000     0.153    0.00       0.054
    150.0   -72.819       0.001000     0.202    0.00       0.015
    100.0   -71.154       0.001000     0.405    0.00      -0.007
     80.0   -67.869       0.001000     0.755    0.00      -0.017
     60.0   -60.338       0.001000     2.042    0.00      -0.043
     40.0   -50.257       0.001000     5.238    0.00      -0.076
     30.0   -42.198       0.001000     8.440    0.00      -0.103
     25.0   -26.151       0.001000    10.124    0.00      -0.157
