  N levels =   24          CBMF=    20.832     SST=    7.88 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.754       3.388443     0.048    0.00       1.056
    950.0     0.667       3.213995     0.051    0.00       1.401
    900.0    -3.152       2.402142     0.053    0.00       1.427
    850.0    -6.695       1.653395     0.056    0.00       1.504
    800.0   -10.295       1.040656     0.057    0.00       1.625
    750.0   -13.969       0.524190     0.059    0.00       1.608
    700.0   -17.833       0.266618     0.060    0.00       1.501
    650.0   -22.247       0.126610     0.061    0.00       1.339
    600.0   -27.077       0.059224     0.063    0.00       1.132
    550.0   -32.457       0.027566     0.066    0.00       0.867
    500.0   -38.491       0.019680     0.069    0.00       0.716
    450.0   -45.133       0.016933     0.073    0.00       0.719
    400.0   -52.412       0.012608     0.077    0.00       0.594
    350.0   -60.510       0.010723     0.085    0.00       0.508
    300.0   -69.545       0.005854     0.096    0.00       0.238
    250.0   -74.208       0.003435     0.117    0.00       0.080
    200.0   -72.963       0.001000     0.153    0.00       0.025
    150.0   -73.998       0.001000     0.202    0.00       0.008
    100.0   -73.076       0.001000     0.405    0.00      -0.000
     80.0   -70.506       0.001000     0.755    0.00      -0.004
     60.0   -64.074       0.001000     2.042    0.00      -0.015
     40.0   -55.437       0.001000     5.238    0.00      -0.029
     30.0   -48.964       0.001000     8.440    0.00      -0.040
     25.0   -37.498       0.001000    10.124    0.00      -0.060
