 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.966                  2.982                  0.632              
   950.000                 -1.132                  2.823                  0.807              
   900.000                 -4.918                  2.005                  0.727              
   850.000                 -8.472                  1.340                  0.636              
   800.000                -12.127                  0.851                  0.527              
   750.000                -15.924                  0.478                  0.389              
   700.000                -19.982                  0.228                  0.274              
   650.000                -24.388                  0.105                  0.204              
   600.000                -29.245                  0.057                  0.163              
   550.000                -34.644                  0.025                  0.126              
   500.000                -40.687                  0.019                  0.160              
   450.000                -47.353                  0.016                  0.265              
   400.000                -54.671                  0.014                  0.466              
   350.000                -62.759                  0.013                  0.922              
   300.000                -71.337                  0.004                  0.993              
   250.000                -74.973                  0.003                  1.004              
   200.000                -73.604                  0.001                  0.194              
   150.000                -74.158                  0.001                  0.155              
   100.000                -72.288                  0.001                  0.079              
    80.000                -68.812                  0.001                  0.039              
    60.000                -61.060                  0.001                  0.011              
    40.000                -50.767                  0.001                  0.002              
    30.000                -42.494                  0.001                  0.001              
    25.000                -26.078                  0.001                  0.000              
