 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 13.439                  6.834                  0.748              
   950.000                  9.307                  6.623                  0.932              
   900.000                  6.308                  4.854                  0.765              
   850.000                  2.884                  3.763                  0.705              
   800.000                 -0.536                  2.743                  0.633              
   750.000                 -3.536                  1.716                  0.560              
   700.000                 -6.821                  1.039                  0.491              
   650.000                -10.465                  0.604                  0.431              
   600.000                -14.657                  0.357                  0.378              
   550.000                -19.579                  0.231                  0.341              
   500.000                -25.382                  0.191                  0.349              
   450.000                -32.132                  0.200                  0.397              
   400.000                -39.621                  0.113                  0.447              
   350.000                -47.906                  0.080                  0.557              
   300.000                -57.260                  0.025                  0.685              
   250.000                -67.820                  0.009                  0.989              
   200.000                -69.106                  0.001                  0.669              
   150.000                -68.807                  0.001                  0.140              
   100.000                -67.772                  0.001                  0.061              
    80.000                -65.139                  0.001                  0.041              
    60.000                -57.606                  0.001                  0.016              
    40.000                -47.719                  0.001                  0.005              
    30.000                -40.394                  0.001                  0.002              
    25.000                -26.562                  0.001                  0.001              
