 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 25.317                 16.133                  0.788              
   950.000                 21.083                 15.870                  0.972              
   900.000                 19.370                 12.605                  0.821              
   850.000                 16.821                 10.676                  0.786              
   800.000                 14.358                  8.824                  0.742              
   750.000                 11.835                  7.346                  0.709              
   700.000                  8.948                  6.141                  0.678              
   650.000                  5.717                  5.103                  0.641              
   600.000                  2.050                  4.202                  0.582              
   550.000                 -2.189                  3.293                  0.538              
   500.000                 -6.292                  2.388                  0.513              
   450.000                -11.277                  1.793                  0.491              
   400.000                -17.029                  0.909                  0.458              
   350.000                -24.028                  0.438                  0.403              
   300.000                -32.627                  0.203                  0.286              
   250.000                -43.233                  0.126                  0.472              
   200.000                -56.323                  0.051                  0.768              
   150.000                -70.013                  0.006                  0.957              
   100.000                -70.256                  0.001                  0.228              
    80.000                -66.428                  0.001                  0.050              
    60.000                -59.081                  0.001                  0.022              
    40.000                -49.086                  0.001                  0.008              
    30.000                -41.185                  0.001                  0.004              
    25.000                -26.760                  0.001                  0.001              
