  N levels =   24          CBMF=    21.585     SST=    6.47 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.988       2.988210     0.048    0.00       1.087
    950.0    -1.109       2.828545     0.051    0.00       1.489
    900.0    -4.894       2.008765     0.053    0.00       1.517
    850.0    -8.449       1.342126     0.056    0.00       1.541
    800.0   -12.101       0.850526     0.057    0.00       1.614
    750.0   -15.888       0.483725     0.059    0.00       1.590
    700.0   -19.956       0.235729     0.060    0.00       1.504
    650.0   -24.375       0.109844     0.061    0.00       1.378
    600.0   -29.229       0.054491     0.063    0.00       1.211
    550.0   -34.614       0.024787     0.066    0.00       0.890
    500.0   -40.658       0.019173     0.069    0.00       0.770
    450.0   -47.323       0.016220     0.073    0.00       0.760
    400.0   -54.639       0.013881     0.077    0.00       0.668
    350.0   -62.726       0.013047     0.085    0.00       0.599
    300.0   -71.312       0.004466     0.096    0.00       0.303
    250.0   -74.963       0.003055     0.117    0.00       0.198
    200.0   -73.590       0.001000     0.153    0.00       0.107
    150.0   -74.145       0.001000     0.202    0.00       0.029
    100.0   -72.277       0.001000     0.405    0.00      -0.002
     80.0   -68.802       0.001000     0.755    0.00      -0.006
     60.0   -61.051       0.001000     2.042    0.00      -0.017
     40.0   -50.760       0.001000     5.238    0.00      -0.032
     30.0   -42.489       0.001000     8.440    0.00      -0.043
     25.0   -26.079       0.001000    10.124    0.00      -0.068
