 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.363                  3.289                  0.638              
   950.000                  0.279                  3.116                  0.806              
   900.000                 -3.548                  2.307                  0.749              
   850.000                 -7.098                  1.586                  0.677              
   800.000                -10.708                  1.002                  0.564              
   750.000                -14.402                  0.510                  0.421              
   700.000                -18.304                  0.273                  0.314              
   650.000                -22.739                  0.126                  0.255              
   600.000                -27.567                  0.062                  0.228              
   550.000                -32.947                  0.028                  0.223              
   500.000                -38.967                  0.021                  0.275              
   450.000                -45.597                  0.018                  0.443              
   400.000                -52.862                  0.014                  0.721              
   350.000                -60.958                  0.013                  0.860              
   300.000                -69.947                  0.005                  1.004              
   250.000                -74.367                  0.003                  0.999              
   200.000                -72.784                  0.001                  0.200              
   150.000                -73.527                  0.001                  0.159              
   100.000                -71.950                  0.001                  0.095              
    80.000                -68.574                  0.001                  0.055              
    60.000                -60.743                  0.001                  0.018              
    40.000                -50.439                  0.001                  0.005              
    30.000                -42.258                  0.001                  0.002              
    25.000                -26.099                  0.001                  0.000              
