 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  8.970                  4.771                  0.687              
   950.000                  4.871                  4.598                  0.862              
   900.000                  1.484                  3.391                  0.732              
   850.000                 -2.047                  2.555                  0.679              
   800.000                 -5.358                  1.718                  0.584              
   750.000                 -8.809                  1.057                  0.454              
   700.000                -12.487                  0.611                  0.346              
   650.000                -16.614                  0.354                  0.275              
   600.000                -21.331                  0.212                  0.241              
   550.000                -26.744                  0.138                  0.247              
   500.000                -32.870                  0.097                  0.309              
   450.000                -39.519                  0.058                  0.469              
   400.000                -46.793                  0.030                  0.686              
   350.000                -54.974                  0.019                  0.861              
   300.000                -64.165                  0.013                  1.017              
   250.000                -72.416                  0.005                  1.003              
   200.000                -70.100                  0.001                  0.167              
   150.000                -71.670                  0.001                  0.125              
   100.000                -71.527                  0.001                  0.089              
    80.000                -69.284                  0.001                  0.059              
    60.000                -62.861                  0.001                  0.023              
    40.000                -54.316                  0.001                  0.007              
    30.000                -48.190                  0.001                  0.003              
    25.000                -37.654                  0.001                  0.001              
