  N levels =   24          CBMF=    21.585     SST=    6.47 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.981       2.988556     0.048    0.00       1.042
    950.0    -1.116       2.828820     0.051    0.00       1.469
    900.0    -4.901       2.011103     0.053    0.00       1.509
    850.0    -8.456       1.345034     0.056    0.00       1.541
    800.0   -12.117       0.849944     0.057    0.00       1.616
    750.0   -15.907       0.445962     0.059    0.00       1.594
    700.0   -19.897       0.218253     0.060    0.00       1.506
    650.0   -24.328       0.117350     0.061    0.00       1.380
    600.0   -29.231       0.064158     0.063    0.00       1.206
    550.0   -34.633       0.025233     0.066    0.00       0.862
    500.0   -40.671       0.019561     0.069    0.00       0.741
    450.0   -47.336       0.016591     0.073    0.00       0.715
    400.0   -54.651       0.014226     0.077    0.00       0.628
    350.0   -62.734       0.013048     0.085    0.00       0.584
    300.0   -71.316       0.004448     0.096    0.00       0.287
    250.0   -74.969       0.003052     0.117    0.00       0.198
    200.0   -73.597       0.001000     0.153    0.00       0.114
    150.0   -74.151       0.001000     0.202    0.00       0.039
    100.0   -72.282       0.001000     0.405    0.00      -0.002
     80.0   -68.806       0.001000     0.755    0.00      -0.004
     60.0   -61.054       0.001000     2.042    0.00      -0.013
     40.0   -50.762       0.001000     5.238    0.00      -0.024
     30.0   -42.491       0.001000     8.440    0.00      -0.033
     25.0   -26.079       0.001000    10.124    0.00      -0.053
