 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.260                  3.539                  0.647              
   950.000                  1.171                  3.363                  0.815              
   900.000                 -2.638                  2.543                  0.746              
   850.000                 -6.194                  1.770                  0.673              
   800.000                 -9.776                  1.086                  0.556              
   750.000                -13.349                  0.521                  0.407              
   700.000                -17.159                  0.255                  0.290              
   650.000                -21.537                  0.131                  0.220              
   600.000                -26.346                  0.068                  0.183              
   550.000                -31.716                  0.028                  0.175              
   500.000                -37.693                  0.020                  0.218              
   450.000                -44.322                  0.019                  0.385              
   400.000                -51.642                  0.019                  0.653              
   350.000                -59.859                  0.018                  0.755              
   300.000                -68.850                  0.006                  1.004              
   250.000                -74.053                  0.004                  1.000              
   200.000                -72.707                  0.001                  0.164              
   150.000                -73.723                  0.001                  0.139              
   100.000                -72.843                  0.001                  0.087              
    80.000                -70.298                  0.001                  0.050              
    60.000                -63.887                  0.001                  0.017              
    40.000                -55.289                  0.001                  0.004              
    30.000                -48.869                  0.001                  0.002              
    25.000                -37.521                  0.001                  0.000              
