 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 16.354                  8.605                  0.789              
   950.000                 12.201                  8.376                  0.969              
   900.000                  9.602                  6.142                  0.823              
   850.000                  6.468                  4.775                  0.800              
   800.000                  3.292                  3.610                  0.770              
   750.000                 -0.011                  2.589                  0.742              
   700.000                 -3.407                  1.707                  0.722              
   650.000                 -6.728                  1.025                  0.703              
   600.000                -10.488                  0.597                  0.683              
   550.000                -14.933                  0.359                  0.664              
   500.000                -20.298                  0.249                  0.652              
   450.000                -26.726                  0.212                  0.647              
   400.000                -34.177                  0.196                  0.637              
   350.000                -42.490                  0.115                  0.629              
   300.000                -51.904                  0.050                  0.588              
   250.000                -62.746                  0.019                  0.611              
   200.000                -69.809                  0.002                  0.688              
   150.000                -67.607                  0.001                  0.608              
   100.000                -65.209                  0.001                  0.363              
    80.000                -62.177                  0.001                  0.034              
    60.000                -55.251                  0.001                  0.006              
    40.000                -46.216                  0.001                  0.002              
    30.000                -39.538                  0.001                  0.001              
    25.000                -26.823                  0.001                  0.000              
