  N levels =   24          CBMF=    18.925     SST=    8.67 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     5.667       3.678047     0.048    0.00       1.590
    950.0     1.585       3.498723     0.051    0.00       1.343
    900.0    -2.086       2.651150     0.053    0.00       1.614
    850.0    -5.509       1.816639     0.056    0.00       1.562
    800.0    -9.029       1.198143     0.057    0.00       1.648
    750.0   -12.737       0.746659     0.059    0.00       1.661
    700.0   -16.727       0.407902     0.060    0.00       1.631
    650.0   -21.054       0.210182     0.061    0.00       1.572
    600.0   -25.917       0.112504     0.063    0.00       1.489
    550.0   -31.390       0.068397     0.066    0.00       1.408
    500.0   -37.484       0.048900     0.069    0.00       1.391
    450.0   -44.080       0.034589     0.073    0.00       1.453
    400.0   -51.314       0.020793     0.077    0.00       1.447
    350.0   -59.366       0.014825     0.085    0.00       1.411
    300.0   -68.248       0.006922     0.096    0.00       1.194
    250.0   -73.746       0.003691     0.117    0.00       1.041
    200.0   -71.060       0.001000     0.153    0.00       0.708
    150.0   -71.384       0.001000     0.202    0.00       0.496
    100.0   -69.906       0.001000     0.405    0.00       0.146
     80.0   -66.799       0.001000     0.755    0.00      -0.013
     60.0   -59.475       0.001000     2.042    0.00      -0.034
     40.0   -49.636       0.001000     5.238    0.00      -0.059
     30.0   -41.803       0.001000     8.440    0.00      -0.078
     25.0   -26.248       0.001000    10.124    0.00      -0.117
