 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.667                  3.678                  0.731              
   950.000                  1.585                  3.499                  0.909              
   900.000                 -2.086                  2.651                  0.784              
   850.000                 -5.509                  1.817                  0.737              
   800.000                 -9.029                  1.198                  0.661              
   750.000                -12.737                  0.747                  0.574              
   700.000                -16.727                  0.408                  0.502              
   650.000                -21.054                  0.210                  0.447              
   600.000                -25.917                  0.113                  0.406              
   550.000                -31.390                  0.068                  0.383              
   500.000                -37.484                  0.049                  0.389              
   450.000                -44.080                  0.035                  0.452              
   400.000                -51.314                  0.021                  0.538              
   350.000                -59.366                  0.015                  0.578              
   300.000                -68.248                  0.007                  0.660              
   250.000                -73.746                  0.004                  0.746              
   200.000                -71.060                  0.001                  0.380              
   150.000                -71.384                  0.001                  0.345              
   100.000                -69.906                  0.001                  0.280              
    80.000                -66.799                  0.001                  0.032              
    60.000                -59.475                  0.001                  0.007              
    40.000                -49.636                  0.001                  0.002              
    30.000                -41.803                  0.001                  0.001              
    25.000                -26.248                  0.001                  0.000              
