  N levels =   24          CBMF=    21.116     SST=    7.83 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.672       3.353410     0.048    0.00       0.992
    950.0     0.584       3.178155     0.051    0.00       1.368
    900.0    -3.257       2.363019     0.053    0.00       1.402
    850.0    -6.805       1.631071     0.056    0.00       1.502
    800.0   -10.391       1.029269     0.057    0.00       1.634
    750.0   -14.044       0.527161     0.059    0.00       1.612
    700.0   -17.927       0.295583     0.060    0.00       1.498
    650.0   -22.332       0.144298     0.061    0.00       1.327
    600.0   -27.133       0.089931     0.063    0.00       1.115
    550.0   -32.526       0.046119     0.066    0.00       0.828
    500.0   -38.480       0.022497     0.069    0.00       0.663
    450.0   -45.158       0.024469     0.073    0.00       0.656
    400.0   -52.579       0.025927     0.077    0.00       0.516
    350.0   -60.811       0.017341     0.085    0.00       0.444
    300.0   -69.663       0.005705     0.096    0.00       0.176
    250.0   -74.249       0.003414     0.117    0.00       0.034
    200.0   -73.024       0.001000     0.153    0.00       0.018
    150.0   -74.060       0.001000     0.202    0.00       0.002
    100.0   -73.129       0.001000     0.405    0.00       0.000
     80.0   -70.548       0.001000     0.755    0.00      -0.004
     60.0   -64.107       0.001000     2.042    0.00      -0.015
     40.0   -55.460       0.001000     5.238    0.00      -0.029
     30.0   -48.979       0.001000     8.440    0.00      -0.040
     25.0   -37.494       0.001000    10.124    0.00      -0.060
