 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.946                  3.743                  0.667              
   950.000                  1.854                  3.563                  0.839              
   900.000                 -1.928                  2.710                  0.746              
   850.000                 -5.475                  1.911                  0.681              
   800.000                 -8.964                  1.175                  0.571              
   750.000                -12.461                  0.636                  0.434              
   700.000                -16.368                  0.320                  0.322              
   650.000                -20.630                  0.204                  0.246              
   600.000                -25.455                  0.100                  0.202              
   550.000                -30.697                  0.056                  0.189              
   500.000                -36.647                  0.037                  0.228              
   450.000                -43.381                  0.064                  0.385              
   400.000                -50.835                  0.077                  0.615              
   350.000                -59.033                  0.019                  0.703              
   300.000                -67.889                  0.007                  0.984              
   250.000                -73.867                  0.004                  1.008              
   200.000                -72.090                  0.001                  0.162              
   150.000                -73.032                  0.001                  0.130              
   100.000                -72.264                  0.001                  0.077              
    80.000                -69.816                  0.001                  0.046              
    60.000                -63.501                  0.001                  0.016              
    40.000                -55.029                  0.001                  0.004              
    30.000                -48.707                  0.001                  0.002              
    25.000                -37.561                  0.001                  0.000              
