 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 11.799                  6.006                  0.707              
   950.000                  7.679                  5.807                  0.886              
   900.000                  4.544                  4.206                  0.737              
   850.000                  1.122                  3.126                  0.680              
   800.000                 -2.270                  2.172                  0.608              
   750.000                 -5.329                  1.276                  0.505              
   700.000                 -8.755                  0.727                  0.405              
   650.000                -12.607                  0.408                  0.338              
   600.000                -17.056                  0.243                  0.307              
   550.000                -22.235                  0.170                  0.322              
   500.000                -28.205                  0.145                  0.392              
   450.000                -34.933                  0.140                  0.554              
   400.000                -42.370                  0.090                  0.768              
   350.000                -50.634                  0.047                  1.023              
   300.000                -59.961                  0.022                  1.041              
   250.000                -70.139                  0.006                  1.006              
   200.000                -68.977                  0.001                  0.219              
   150.000                -71.824                  0.001                  0.132              
   100.000                -72.372                  0.001                  0.097              
    80.000                -70.802                  0.001                  0.070              
    60.000                -64.871                  0.001                  0.032              
    40.000                -56.007                  0.001                  0.011              
    30.000                -49.158                  0.001                  0.005              
    25.000                -37.547                  0.001                  0.002              
