  N levels =   24          CBMF=    21.337     SST=    6.59 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.126       3.026032     0.048    0.00       0.888
    950.0    -0.970       2.867303     0.051    0.00       1.387
    900.0    -4.739       2.041682     0.053    0.00       1.423
    850.0    -8.285       1.359728     0.056    0.00       1.507
    800.0   -11.928       0.854834     0.057    0.00       1.610
    750.0   -15.717       0.457931     0.059    0.00       1.578
    700.0   -19.705       0.235982     0.060    0.00       1.470
    650.0   -24.157       0.129346     0.061    0.00       1.315
    600.0   -29.062       0.067590     0.063    0.00       1.127
    550.0   -34.439       0.026202     0.066    0.00       0.744
    500.0   -40.465       0.019687     0.069    0.00       0.573
    450.0   -47.129       0.016774     0.073    0.00       0.526
    400.0   -54.444       0.014303     0.077    0.00       0.383
    350.0   -62.533       0.013430     0.085    0.00       0.376
    300.0   -71.149       0.004576     0.096    0.00       0.084
    250.0   -74.896       0.003086     0.117    0.00       0.041
    200.0   -73.484       0.001000     0.153    0.00       0.004
    150.0   -74.041       0.001000     0.202    0.00       0.003
    100.0   -72.204       0.001000     0.405    0.00      -0.003
     80.0   -68.741       0.001000     0.755    0.00      -0.015
     60.0   -60.997       0.001000     2.042    0.00      -0.040
     40.0   -50.717       0.001000     5.238    0.00      -0.075
     30.0   -42.461       0.001000     8.440    0.00      -0.102
     25.0   -26.083       0.001000    10.124    0.00      -0.157
