 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.264                  3.545                  0.645              
   950.000                  1.176                  3.369                  0.813              
   900.000                 -2.617                  2.557                  0.746              
   850.000                 -6.158                  1.776                  0.672              
   800.000                 -9.757                  1.123                  0.555              
   750.000                -13.425                  0.557                  0.406              
   700.000                -17.238                  0.235                  0.290              
   650.000                -21.550                  0.103                  0.221              
   600.000                -26.379                  0.050                  0.184              
   550.000                -31.788                  0.030                  0.176              
   500.000                -37.786                  0.022                  0.219              
   450.000                -44.388                  0.018                  0.387              
   400.000                -51.653                  0.014                  0.659              
   350.000                -59.765                  0.013                  0.754              
   300.000                -68.769                  0.006                  1.011              
   250.000                -74.074                  0.004                  1.000              
   200.000                -72.729                  0.001                  0.166              
   150.000                -73.744                  0.001                  0.141              
   100.000                -72.859                  0.001                  0.088              
    80.000                -70.311                  0.001                  0.051              
    60.000                -63.897                  0.001                  0.017              
    40.000                -55.297                  0.001                  0.004              
    30.000                -48.874                  0.001                  0.002              
    25.000                -37.520                  0.001                  0.000              
