  N levels =   24          CBMF=    21.581     SST=    6.48 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.997       2.992736     0.048    0.00       1.005
    950.0    -1.100       2.833027     0.051    0.00       1.460
    900.0    -4.884       2.015804     0.053    0.00       1.472
    850.0    -8.438       1.348532     0.056    0.00       1.522
    800.0   -12.098       0.853194     0.057    0.00       1.608
    750.0   -15.889       0.450596     0.059    0.00       1.589
    700.0   -19.885       0.216403     0.060    0.00       1.497
    650.0   -24.305       0.115190     0.061    0.00       1.360
    600.0   -29.203       0.063579     0.063    0.00       1.178
    550.0   -34.603       0.025055     0.066    0.00       0.824
    500.0   -40.639       0.019199     0.069    0.00       0.678
    450.0   -47.306       0.016271     0.073    0.00       0.644
    400.0   -54.623       0.013920     0.077    0.00       0.532
    350.0   -62.710       0.013085     0.085    0.00       0.486
    300.0   -71.297       0.004475     0.096    0.00       0.197
    250.0   -74.958       0.003057     0.117    0.00       0.095
    200.0   -73.584       0.001000     0.153    0.00       0.032
    150.0   -74.139       0.001000     0.202    0.00       0.012
    100.0   -72.272       0.001000     0.405    0.00      -0.001
     80.0   -68.797       0.001000     0.755    0.00      -0.007
     60.0   -61.047       0.001000     2.042    0.00      -0.020
     40.0   -50.756       0.001000     5.238    0.00      -0.037
     30.0   -42.487       0.001000     8.440    0.00      -0.051
     25.0   -26.080       0.001000    10.124    0.00      -0.079
