  N levels =   24          CBMF=    16.716     SST=   10.78 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     7.840       4.319934     0.048    0.00       0.934
    950.0     3.746       4.160067     0.051    0.00       1.268
    900.0     0.237       3.081620     0.053    0.00       1.290
    850.0    -3.376       2.303228     0.056    0.00       1.418
    800.0    -6.829       1.514282     0.057    0.00       1.588
    750.0   -10.383       0.863323     0.059    0.00       1.581
    700.0   -14.125       0.451056     0.060    0.00       1.454
    650.0   -18.388       0.240224     0.061    0.00       1.290
    600.0   -23.213       0.133042     0.063    0.00       1.081
    550.0   -28.635       0.078744     0.066    0.00       0.861
    500.0   -34.621       0.048207     0.069    0.00       0.725
    450.0   -41.167       0.029678     0.073    0.00       0.718
    400.0   -48.421       0.019382     0.077    0.00       0.583
    350.0   -56.564       0.015676     0.085    0.00       0.464
    300.0   -65.645       0.010052     0.096    0.00       0.240
    250.0   -73.211       0.004004     0.117    0.00      -0.011
    200.0   -70.924       0.001000     0.153    0.00       0.006
    150.0   -72.148       0.001000     0.202    0.00      -0.001
    100.0   -72.613       0.001000     0.405    0.00      -0.000
     80.0   -71.720       0.001000     0.755    0.00      -0.001
     60.0   -67.919       0.001000     2.042    0.00      -0.005
     40.0   -62.770       0.001000     5.238    0.00      -0.010
     30.0   -60.133       0.001000     8.440    0.00      -0.012
     25.0   -58.164       0.001000    10.124    0.00      -0.016
