 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  7.840                  4.320                  0.645              
   950.000                  3.746                  4.160                  0.813              
   900.000                  0.237                  3.082                  0.720              
   850.000                 -3.376                  2.303                  0.686              
   800.000                 -6.829                  1.514                  0.553              
   750.000                -10.383                  0.863                  0.393              
   700.000                -14.125                  0.451                  0.278              
   650.000                -18.388                  0.240                  0.210              
   600.000                -23.213                  0.133                  0.175              
   550.000                -28.635                  0.079                  0.167              
   500.000                -34.621                  0.048                  0.205              
   450.000                -41.167                  0.030                  0.377              
   400.000                -48.421                  0.019                  0.605              
   350.000                -56.564                  0.016                  0.658              
   300.000                -65.645                  0.010                  1.002              
   250.000                -73.211                  0.004                  0.998              
   200.000                -70.924                  0.001                  0.138              
   150.000                -72.148                  0.001                  0.122              
   100.000                -72.613                  0.001                  0.089              
    80.000                -71.720                  0.001                  0.063              
    60.000                -67.919                  0.001                  0.027              
    40.000                -62.770                  0.001                  0.009              
    30.000                -60.133                  0.001                  0.005              
    25.000                -58.164                  0.001                  0.003              
