  N levels =   24          CBMF=    16.026     SST=   12.70 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     9.846       5.063168     0.048    0.00       1.042
    950.0     5.736       4.900422     0.051    0.00       1.280
    900.0     2.326       3.733219     0.053    0.00       1.286
    850.0    -1.286       2.894831     0.056    0.00       1.374
    800.0    -4.630       1.886377     0.057    0.00       1.553
    750.0    -7.972       1.076123     0.059    0.00       1.606
    700.0   -11.671       0.579832     0.060    0.00       1.536
    650.0   -15.787       0.294739     0.061    0.00       1.375
    600.0   -20.399       0.143987     0.063    0.00       1.168
    550.0   -25.571       0.070464     0.066    0.00       0.939
    500.0   -31.382       0.037284     0.069    0.00       0.802
    450.0   -37.923       0.023849     0.073    0.00       0.779
    400.0   -45.282       0.018825     0.077    0.00       0.735
    350.0   -53.539       0.016081     0.085    0.00       0.517
    300.0   -62.855       0.014808     0.096    0.00       0.392
    250.0   -71.865       0.004922     0.117    0.00       0.037
    200.0   -69.228       0.001000     0.153    0.00       0.012
    150.0   -70.469       0.001000     0.202    0.00      -0.005
    100.0   -71.252       0.001000     0.405    0.00      -0.004
     80.0   -70.751       0.001000     0.755    0.00      -0.005
     60.0   -67.588       0.001000     2.042    0.00      -0.011
     40.0   -63.400       0.001000     5.238    0.00      -0.019
     30.0   -61.791       0.001000     8.440    0.00      -0.022
     25.0   -62.134       0.001000    10.124    0.00      -0.023
