  N levels =   24          CBMF=    14.039     SST=   15.43 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    12.615       6.375483     0.048    0.00       1.315
    950.0     8.489       6.174110     0.051    0.00       1.465
    900.0     5.401       4.518290     0.053    0.00       1.397
    850.0     1.982       3.410449     0.056    0.00       1.343
    800.0    -1.415       2.414893     0.057    0.00       1.429
    750.0    -4.445       1.443530     0.059    0.00       1.494
    700.0    -7.814       0.827817     0.060    0.00       1.490
    650.0   -11.578       0.459518     0.061    0.00       1.374
    600.0   -15.914       0.262808     0.063    0.00       1.192
    550.0   -20.988       0.172598     0.066    0.00       1.014
    500.0   -26.884       0.139175     0.069    0.00       0.924
    450.0   -33.585       0.127173     0.073    0.00       0.998
    400.0   -41.057       0.106257     0.077    0.00       1.024
    350.0   -49.342       0.056483     0.085    0.00       0.841
    300.0   -58.666       0.020681     0.096    0.00       0.688
    250.0   -69.186       0.007349     0.117    0.00       0.360
    200.0   -68.450       0.001000     0.153    0.00       0.103
    150.0   -71.312       0.001000     0.202    0.00      -0.037
    100.0   -72.333       0.001000     0.405    0.00      -0.016
     80.0   -71.391       0.001000     0.755    0.00      -0.035
     60.0   -66.731       0.001000     2.042    0.00      -0.128
     40.0   -59.884       0.001000     5.238    0.00      -0.265
     30.0   -55.444       0.001000     8.440    0.00      -0.354
     25.0   -49.714       0.001000    10.124    0.00      -0.469
