 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.675                  3.352                  0.637              
   950.000                  0.589                  3.175                  0.804              
   900.000                 -3.214                  2.352                  0.743              
   850.000                 -6.718                  1.604                  0.664              
   800.000                -10.293                  1.035                  0.547              
   750.000                -14.023                  0.611                  0.394              
   700.000                -18.022                  0.302                  0.277              
   650.000                -22.336                  0.160                  0.206              
   600.000                -27.197                  0.089                  0.168              
   550.000                -32.562                  0.040                  0.151              
   500.000                -38.577                  0.025                  0.184              
   450.000                -45.314                  0.023                  0.327              
   400.000                -52.649                  0.018                  0.568              
   350.000                -60.733                  0.013                  0.763              
   300.000                -69.688                  0.006                  1.002              
   250.000                -74.257                  0.003                  1.000              
   200.000                -73.035                  0.001                  0.173              
   150.000                -74.072                  0.001                  0.148              
   100.000                -73.137                  0.001                  0.090              
    80.000                -70.554                  0.001                  0.051              
    60.000                -64.112                  0.001                  0.016              
    40.000                -55.464                  0.001                  0.004              
    30.000                -48.981                  0.001                  0.001              
    25.000                -37.493                  0.001                  0.000              
