 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 21.502                 12.538                  0.789              
   950.000                 17.301                 12.297                  0.972              
   900.000                 15.293                  9.479                  0.826              
   850.000                 12.565                  7.770                  0.795              
   800.000                  9.903                  6.140                  0.749              
   750.000                  7.183                  4.825                  0.711              
   700.000                  4.045                  3.859                  0.679              
   650.000                  0.490                  3.090                  0.646              
   600.000                 -3.552                  2.342                  0.609              
   550.000                 -7.491                  1.662                  0.573              
   500.000                -12.160                  1.215                  0.543              
   450.000                -17.740                  0.804                  0.510              
   400.000                -24.197                  0.339                  0.454              
   350.000                -31.926                  0.164                  0.422              
   300.000                -41.176                  0.104                  0.369              
   250.000                -52.107                  0.057                  0.419              
   200.000                -65.052                  0.017                  0.621              
   150.000                -69.149                  0.001                  0.737              
   100.000                -65.510                  0.001                  0.481              
    80.000                -61.311                  0.001                  0.025              
    60.000                -54.195                  0.001                  0.009              
    40.000                -45.295                  0.001                  0.003              
    30.000                -38.880                  0.001                  0.001              
    25.000                -26.988                  0.001                  0.000              
