 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.265                  3.545                  0.653              
   950.000                  1.182                  3.365                  0.824              
   900.000                 -2.531                  2.518                  0.745              
   850.000                 -5.970                  1.715                  0.684              
   800.000                 -9.488                  1.121                  0.570              
   750.000                -13.186                  0.696                  0.428              
   700.000                -17.199                  0.406                  0.322              
   650.000                -21.583                  0.212                  0.261              
   600.000                -26.401                  0.108                  0.232              
   550.000                -31.813                  0.062                  0.235              
   500.000                -37.924                  0.048                  0.291              
   450.000                -44.608                  0.038                  0.478              
   400.000                -51.889                  0.023                  0.752              
   350.000                -59.941                  0.016                  0.871              
   300.000                -68.783                  0.006                  1.022              
   250.000                -74.037                  0.004                  0.999              
   200.000                -72.087                  0.001                  0.175              
   150.000                -72.811                  0.001                  0.141              
   100.000                -71.361                  0.001                  0.087              
    80.000                -68.052                  0.001                  0.051              
    60.000                -60.305                  0.001                  0.017              
    40.000                -50.114                  0.001                  0.004              
    30.000                -42.059                  0.001                  0.002              
    25.000                -26.161                  0.001                  0.000              
