  N levels =   24          CBMF=    17.967     SST=   10.22 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     7.398       4.229842     0.048    0.00       1.084
    950.0     3.308       4.038602     0.051    0.00       1.391
    900.0    -0.266       3.148451     0.053    0.00       1.365
    850.0    -3.615       2.192214     0.056    0.00       1.402
    800.0    -7.012       1.454748     0.057    0.00       1.515
    750.0   -10.569       0.917874     0.059    0.00       1.475
    700.0   -14.435       0.560396     0.060    0.00       1.362
    650.0   -18.716       0.316424     0.061    0.00       1.221
    600.0   -23.457       0.177688     0.063    0.00       1.063
    550.0   -28.873       0.118060     0.066    0.00       0.902
    500.0   -35.048       0.095977     0.069    0.00       0.831
    450.0   -41.751       0.066365     0.073    0.00       0.812
    400.0   -49.019       0.032793     0.077    0.00       0.675
    350.0   -57.129       0.018248     0.085    0.00       0.596
    300.0   -66.192       0.009613     0.096    0.00       0.375
    250.0   -72.957       0.004167     0.117    0.00       0.249
    200.0   -71.759       0.001000     0.153    0.00       0.031
    150.0   -73.486       0.001000     0.202    0.00       0.007
    100.0   -73.155       0.001000     0.405    0.00       0.000
     80.0   -71.099       0.001000     0.755    0.00      -0.041
     60.0   -64.220       0.001000     2.042    0.00      -0.179
     40.0   -53.511       0.001000     5.238    0.00      -0.393
     30.0   -44.171       0.001000     8.440    0.00      -0.580
     25.0   -26.080       0.001000    10.124    0.00      -0.941
