 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.144                  3.223                  0.696              
   950.000                  0.059                  3.051                  0.871              
   900.000                 -3.793                  2.248                  0.761              
   850.000                 -7.356                  1.548                  0.699              
   800.000                -10.971                  0.978                  0.606              
   750.000                -14.662                  0.499                  0.494              
   700.000                -18.581                  0.278                  0.406              
   650.000                -23.028                  0.125                  0.344              
   600.000                -27.834                  0.076                  0.300              
   550.000                -33.196                  0.031                  0.277              
   500.000                -39.175                  0.021                  0.297              
   450.000                -45.823                  0.020                  0.394              
   400.000                -53.176                  0.020                  0.527              
   350.000                -61.361                  0.016                  0.640              
   300.000                -70.165                  0.005                  0.771              
   250.000                -74.271                  0.003                  0.867              
   200.000                -72.258                  0.001                  0.361              
   150.000                -72.696                  0.001                  0.258              
   100.000                -71.067                  0.001                  0.107              
    80.000                -67.798                  0.001                  0.028              
    60.000                -60.280                  0.001                  0.009              
    40.000                -50.230                  0.001                  0.002              
    30.000                -42.182                  0.001                  0.001              
    25.000                -26.155                  0.001                  0.000              
