  N levels =   24          CBMF=    10.752     SST=   25.51 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    22.539      13.009861     0.048    0.00       1.661
    950.0    18.313      12.753603     0.051    0.00       1.753
    900.0    16.183       9.970275     0.053    0.00       1.690
    850.0    13.435       8.168410     0.056    0.00       1.462
    800.0    10.753       6.428476     0.057    0.00       1.369
    750.0     8.035       4.939132     0.059    0.00       1.299
    700.0     4.957       3.854613     0.060    0.00       1.289
    650.0     1.431       3.029492     0.061    0.00       1.345
    600.0    -2.573       2.218506     0.063    0.00       1.357
    550.0    -6.342       1.501841     0.066    0.00       1.432
    500.0   -10.849       1.138309     0.069    0.00       1.531
    450.0   -16.396       0.885640     0.073    0.00       1.662
    400.0   -22.849       0.386842     0.077    0.00       1.661
    350.0   -30.466       0.155409     0.085    0.00       1.381
    300.0   -39.639       0.099850     0.096    0.00       1.197
    250.0   -50.561       0.059667     0.117    0.00       0.923
    200.0   -63.601       0.020613     0.153    0.00       0.535
    150.0   -68.127       0.001001     0.202    0.00       0.010
    100.0   -69.595       0.001000     0.405    0.00      -0.071
     80.0   -69.376       0.001000     0.755    0.00      -0.075
     60.0   -65.871       0.001000     2.042    0.00      -0.146
     40.0   -61.013       0.001000     5.238    0.00      -0.243
     30.0   -58.856       0.001000     8.440    0.00      -0.286
     25.0   -58.448       0.001000    10.124    0.00      -0.294
