  N levels =   24          CBMF=    16.241     SST=   13.24 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    10.432       5.292270     0.048    0.00       1.171
    950.0     6.318       5.113592     0.051    0.00       1.381
    900.0     2.901       3.883940     0.053    0.00       1.355
    850.0    -0.712       3.015574     0.056    0.00       1.376
    800.0    -4.009       1.945196     0.057    0.00       1.518
    750.0    -7.273       1.153119     0.059    0.00       1.588
    700.0   -10.820       0.655527     0.060    0.00       1.532
    650.0   -14.706       0.357940     0.061    0.00       1.365
    600.0   -19.132       0.219178     0.063    0.00       1.137
    550.0   -24.274       0.150058     0.066    0.00       0.933
    500.0   -30.303       0.148729     0.069    0.00       0.847
    450.0   -37.235       0.133922     0.073    0.00       0.867
    400.0   -44.767       0.083728     0.077    0.00       0.918
    350.0   -53.009       0.033499     0.085    0.00       0.669
    300.0   -62.270       0.016256     0.096    0.00       0.540
    250.0   -71.252       0.005395     0.117    0.00       0.152
    200.0   -68.605       0.001000     0.153    0.00       0.035
    150.0   -70.026       0.001000     0.202    0.00      -0.021
    100.0   -70.899       0.001000     0.405    0.00      -0.015
     80.0   -70.304       0.001000     0.755    0.00      -0.019
     60.0   -66.814       0.001000     2.042    0.00      -0.042
     40.0   -62.177       0.001000     5.238    0.00      -0.073
     30.0   -60.075       0.001000     8.440    0.00      -0.087
     25.0   -59.324       0.001000    10.124    0.00      -0.092
