 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.486                  3.123                  0.670              
   950.000                 -0.612                  2.965                  0.843              
   900.000                 -4.352                  2.128                  0.747              
   850.000                 -7.883                  1.419                  0.675              
   800.000                -11.500                  0.895                  0.571              
   750.000                -15.269                  0.510                  0.443              
   700.000                -19.297                  0.261                  0.343              
   650.000                -23.721                  0.127                  0.275              
   600.000                -28.576                  0.061                  0.233              
   550.000                -33.931                  0.027                  0.210              
   500.000                -39.967                  0.020                  0.237              
   450.000                -46.644                  0.018                  0.350              
   400.000                -53.973                  0.015                  0.524              
   350.000                -62.087                  0.015                  0.729              
   300.000                -70.714                  0.005                  0.889              
   250.000                -74.606                  0.003                  0.975              
   200.000                -72.866                  0.001                  0.299              
   150.000                -73.355                  0.001                  0.132              
   100.000                -71.634                  0.001                  0.060              
    80.000                -68.279                  0.001                  0.033              
    60.000                -60.643                  0.001                  0.010              
    40.000                -50.510                  0.001                  0.002              
    30.000                -42.341                  0.001                  0.001              
    25.000                -26.116                  0.001                  0.000              
