 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  8.301                  4.548                  0.710              
   950.000                  4.207                  4.380                  0.888              
   900.000                  0.796                  3.222                  0.744              
   850.000                 -2.760                  2.420                  0.689              
   800.000                 -6.132                  1.624                  0.601              
   750.000                 -9.640                  0.977                  0.492              
   700.000                -13.354                  0.549                  0.401              
   650.000                -17.575                  0.311                  0.329              
   600.000                -22.371                  0.179                  0.276              
   550.000                -27.800                  0.108                  0.257              
   500.000                -33.831                  0.067                  0.293              
   450.000                -40.410                  0.039                  0.406              
   400.000                -47.659                  0.023                  0.548              
   350.000                -55.830                  0.017                  0.683              
   300.000                -64.958                  0.011                  0.861              
   250.000                -72.688                  0.004                  1.062              
   200.000                -69.697                  0.001                  0.315              
   150.000                -70.211                  0.001                  0.121              
   100.000                -68.991                  0.001                  0.062              
    80.000                -65.952                  0.001                  0.038              
    60.000                -58.555                  0.001                  0.014              
    40.000                -48.788                  0.001                  0.004              
    30.000                -41.229                  0.001                  0.002              
    25.000                -26.401                  0.001                  0.000              
