 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.664                  3.348                  0.627              
   950.000                  0.579                  3.172                  0.793              
   900.000                 -3.228                  2.348                  0.746              
   850.000                 -6.728                  1.596                  0.662              
   800.000                -10.290                  1.023                  0.544              
   750.000                -14.002                  0.605                  0.388              
   700.000                -18.013                  0.317                  0.273              
   650.000                -22.365                  0.155                  0.204              
   600.000                -27.198                  0.092                  0.170              
   550.000                -32.562                  0.039                  0.152              
   500.000                -38.556                  0.026                  0.183              
   450.000                -45.305                  0.024                  0.324              
   400.000                -52.667                  0.019                  0.574              
   350.000                -60.756                  0.014                  0.781              
   300.000                -69.689                  0.006                  1.000              
   250.000                -74.260                  0.003                  0.999              
   200.000                -73.042                  0.001                  0.192              
   150.000                -74.079                  0.001                  0.165              
   100.000                -73.142                  0.001                  0.099              
    80.000                -70.558                  0.001                  0.056              
    60.000                -64.115                  0.001                  0.018              
    40.000                -55.466                  0.001                  0.004              
    30.000                -48.982                  0.001                  0.002              
    25.000                -37.493                  0.001                  0.000              
