 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.624                  3.351                  0.623              
   950.000                  0.539                  3.178                  0.788              
   900.000                 -3.284                  2.371                  0.741              
   850.000                 -6.827                  1.630                  0.656              
   800.000                -10.435                  1.029                  0.538              
   750.000                -14.130                  0.520                  0.379              
   700.000                -18.005                  0.236                  0.264              
   650.000                -22.365                  0.126                  0.193              
   600.000                -27.238                  0.066                  0.158              
   550.000                -32.640                  0.029                  0.133              
   500.000                -38.679                  0.020                  0.158              
   450.000                -45.325                  0.017                  0.282              
   400.000                -52.597                  0.013                  0.506              
   350.000                -60.687                  0.011                  0.788              
   300.000                -69.704                  0.006                  1.000              
   250.000                -74.293                  0.003                  1.000              
   200.000                -73.113                  0.001                  0.194              
   150.000                -74.144                  0.001                  0.168              
   100.000                -73.190                  0.001                  0.099              
    80.000                -70.595                  0.001                  0.055              
    60.000                -64.144                  0.001                  0.017              
    40.000                -55.487                  0.001                  0.004              
    30.000                -48.995                  0.001                  0.001              
    25.000                -37.490                  0.001                  0.000              
