 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 14.026                  7.169                  0.731              
   950.000                  9.890                  6.956                  0.913              
   900.000                  7.000                  5.065                  0.750              
   850.000                  3.707                  3.853                  0.692              
   800.000                  0.429                  2.763                  0.624              
   750.000                 -2.917                  1.848                  0.549              
   700.000                 -6.159                  1.114                  0.459              
   650.000                 -9.743                  0.636                  0.373              
   600.000                -13.850                  0.360                  0.316              
   550.000                -18.667                  0.219                  0.296              
   500.000                -24.357                  0.163                  0.324              
   450.000                -31.028                  0.158                  0.428              
   400.000                -38.558                  0.133                  0.598              
   350.000                -46.823                  0.062                  0.815              
   300.000                -56.218                  0.025                  1.100              
   250.000                -66.894                  0.010                  1.042              
   200.000                -68.600                  0.001                  0.278              
   150.000                -71.197                  0.001                  0.194              
   100.000                -71.700                  0.001                  0.092              
    80.000                -70.155                  0.001                  0.066              
    60.000                -64.207                  0.001                  0.031              
    40.000                -55.409                  0.001                  0.011              
    30.000                -48.745                  0.001                  0.005              
    25.000                -37.645                  0.001                  0.002              
