 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  9.026                  4.785                  0.706              
   950.000                  4.922                  4.622                  0.883              
   900.000                  1.479                  3.501                  0.740              
   850.000                 -2.139                  2.687                  0.682              
   800.000                 -5.511                  1.728                  0.593              
   750.000                 -8.875                  0.967                  0.477              
   700.000                -12.609                  0.513                  0.377              
   650.000                -16.756                  0.256                  0.299              
   600.000                -21.392                  0.124                  0.244              
   550.000                -26.589                  0.062                  0.226              
   500.000                -32.438                  0.035                  0.263              
   450.000                -39.014                  0.025                  0.387              
   400.000                -46.379                  0.021                  0.560              
   350.000                -54.603                  0.019                  0.685              
   300.000                -63.876                  0.013                  0.909              
   250.000                -72.272                  0.005                  1.027              
   200.000                -69.623                  0.001                  0.221              
   150.000                -70.678                  0.001                  0.124              
   100.000                -70.312                  0.001                  0.070              
    80.000                -68.118                  0.001                  0.046              
    60.000                -61.996                  0.001                  0.018              
    40.000                -53.829                  0.001                  0.005              
    30.000                -47.958                  0.001                  0.002              
    25.000                -37.745                  0.001                  0.001              
