  N levels =   24          CBMF=    21.403     SST=    6.56 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.090       3.016696     0.048    0.00       1.218
    950.0    -1.007       2.857660     0.051    0.00       1.498
    900.0    -4.780       2.036066     0.053    0.00       1.562
    850.0    -8.331       1.359115     0.056    0.00       1.563
    800.0   -11.983       0.856169     0.057    0.00       1.630
    750.0   -15.768       0.447781     0.059    0.00       1.608
    700.0   -19.742       0.228773     0.060    0.00       1.528
    650.0   -24.194       0.126266     0.061    0.00       1.412
    600.0   -29.103       0.067181     0.063    0.00       1.265
    550.0   -34.487       0.025870     0.066    0.00       1.004
    500.0   -40.516       0.019487     0.069    0.00       0.907
    450.0   -47.182       0.016580     0.073    0.00       0.910
    400.0   -54.500       0.014144     0.077    0.00       0.829
    350.0   -62.592       0.013623     0.085    0.00       0.785
    300.0   -71.191       0.004533     0.096    0.00       0.485
    250.0   -74.906       0.003082     0.117    0.00       0.344
    200.0   -73.471       0.001000     0.153    0.00       0.212
    150.0   -74.015       0.001000     0.202    0.00       0.090
    100.0   -72.170       0.001000     0.405    0.00       0.001
     80.0   -68.731       0.001000     0.755    0.00      -0.007
     60.0   -60.999       0.001000     2.042    0.00      -0.020
     40.0   -50.722       0.001000     5.238    0.00      -0.037
     30.0   -42.465       0.001000     8.440    0.00      -0.051
     25.0   -26.085       0.001000    10.124    0.00      -0.079
