  N levels =   24          CBMF=    21.593     SST=    6.46 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.972       2.986009     0.048    0.00       0.969
    950.0    -1.125       2.826353     0.051    0.00       1.452
    900.0    -4.911       2.006995     0.053    0.00       1.466
    850.0    -8.469       1.342299     0.056    0.00       1.519
    800.0   -12.131       0.844197     0.057    0.00       1.607
    750.0   -15.906       0.440278     0.059    0.00       1.588
    700.0   -19.893       0.229216     0.060    0.00       1.495
    650.0   -24.359       0.125654     0.061    0.00       1.358
    600.0   -29.265       0.064402     0.063    0.00       1.172
    550.0   -34.648       0.025173     0.066    0.00       0.798
    500.0   -40.680       0.019214     0.069    0.00       0.650
    450.0   -47.344       0.016242     0.073    0.00       0.608
    400.0   -54.659       0.013866     0.077    0.00       0.499
    350.0   -62.743       0.012995     0.085    0.00       0.459
    300.0   -71.328       0.004455     0.096    0.00       0.170
    250.0   -74.969       0.003052     0.117    0.00       0.082
    200.0   -73.597       0.001000     0.153    0.00       0.027
    150.0   -74.152       0.001000     0.202    0.00       0.010
    100.0   -72.283       0.001000     0.405    0.00      -0.001
     80.0   -68.808       0.001000     0.755    0.00      -0.006
     60.0   -61.056       0.001000     2.042    0.00      -0.017
     40.0   -50.764       0.001000     5.238    0.00      -0.031
     30.0   -42.492       0.001000     8.440    0.00      -0.043
     25.0   -26.079       0.001000    10.124    0.00      -0.068
