 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 14.628                  7.530                  0.774              
   950.000                 10.487                  7.313                  0.957              
   900.000                  7.679                  5.357                  0.803              
   850.000                  4.422                  4.146                  0.760              
   800.000                  1.123                  3.084                  0.704              
   750.000                 -2.252                  2.120                  0.653              
   700.000                 -5.405                  1.286                  0.607              
   650.000                 -8.920                  0.752                  0.562              
   600.000                -12.953                  0.436                  0.515              
   550.000                -17.717                  0.269                  0.483              
   500.000                -23.367                  0.188                  0.470              
   450.000                -29.920                  0.149                  0.472              
   400.000                -37.352                  0.165                  0.450              
   350.000                -45.737                  0.101                  0.461              
   300.000                -55.141                  0.031                  0.453              
   250.000                -65.865                  0.011                  0.615              
   200.000                -69.189                  0.001                  0.628              
   150.000                -67.891                  0.001                  0.553              
   100.000                -65.774                  0.001                  0.321              
    80.000                -62.829                  0.001                  0.024              
    60.000                -55.844                  0.001                  0.008              
    40.000                -46.660                  0.001                  0.003              
    30.000                -39.842                  0.001                  0.001              
    25.000                -26.747                  0.001                  0.000              
