 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.180                  3.041                  0.643              
   950.000                 -0.917                  2.882                  0.814              
   900.000                 -4.681                  2.057                  0.736              
   850.000                 -8.226                  1.373                  0.655              
   800.000                -11.873                  0.866                  0.545              
   750.000                -15.661                  0.456                  0.405              
   700.000                -19.631                  0.229                  0.292              
   650.000                -24.069                  0.126                  0.221              
   600.000                -28.976                  0.070                  0.182              
   550.000                -34.368                  0.027                  0.158              
   500.000                -40.397                  0.020                  0.196              
   450.000                -47.064                  0.017                  0.326              
   400.000                -54.381                  0.015                  0.547              
   350.000                -62.473                  0.014                  0.871              
   300.000                -71.078                  0.005                  1.015              
   250.000                -74.851                  0.003                  1.003              
   200.000                -73.332                  0.001                  0.171              
   150.000                -73.851                  0.001                  0.135              
   100.000                -72.059                  0.001                  0.075              
    80.000                -68.637                  0.001                  0.040              
    60.000                -60.929                  0.001                  0.012              
    40.000                -50.681                  0.001                  0.003              
    30.000                -42.440                  0.001                  0.001              
    25.000                -26.091                  0.001                  0.000              
