 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 16.857                  8.952                  0.770              
   950.000                 12.700                  8.723                  0.955              
   900.000                 10.169                  6.441                  0.787              
   850.000                  7.077                  5.046                  0.734              
   800.000                  3.931                  3.854                  0.666              
   750.000                  0.648                  2.817                  0.606              
   700.000                 -2.765                  1.910                  0.562              
   650.000                 -6.067                  1.177                  0.520              
   600.000                 -9.798                  0.702                  0.476              
   550.000                -14.197                  0.422                  0.444              
   500.000                -19.475                  0.270                  0.436              
   450.000                -25.754                  0.192                  0.450              
   400.000                -33.075                  0.165                  0.419              
   350.000                -41.472                  0.136                  0.405              
   300.000                -50.898                  0.052                  0.500              
   250.000                -61.771                  0.021                  0.792              
   200.000                -70.395                  0.003                  1.003              
   150.000                -68.675                  0.001                  0.378              
   100.000                -66.875                  0.001                  0.058              
    80.000                -64.020                  0.001                  0.037              
    60.000                -56.601                  0.001                  0.015              
    40.000                -46.892                  0.001                  0.005              
    30.000                -39.830                  0.001                  0.002              
    25.000                -26.700                  0.001                  0.001              
