  N levels =   24          CBMF=    16.162     SST=   12.87 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     9.968       5.179934     0.048    0.00       1.734
    950.0     5.861       4.997728     0.051    0.00       1.713
    900.0     2.499       3.730452     0.053    0.00       1.767
    850.0    -1.029       2.854144     0.056    0.00       1.618
    800.0    -4.282       1.905335     0.057    0.00       1.617
    750.0    -7.591       1.132805     0.059    0.00       1.602
    700.0   -11.085       0.655748     0.060    0.00       1.572
    650.0   -15.063       0.422003     0.061    0.00       1.518
    600.0   -19.686       0.270292     0.063    0.00       1.442
    550.0   -24.972       0.176004     0.066    0.00       1.370
    500.0   -31.070       0.133225     0.069    0.00       1.390
    450.0   -37.877       0.089598     0.073    0.00       1.508
    400.0   -45.305       0.056615     0.077    0.00       1.516
    350.0   -53.566       0.039459     0.085    0.00       1.381
    300.0   -62.805       0.014821     0.096    0.00       1.061
    250.0   -71.385       0.005266     0.117    0.00       0.814
    200.0   -68.628       0.001000     0.153    0.00       0.439
    150.0   -68.841       0.001000     0.202    0.00       0.117
    100.0   -67.417       0.001000     0.405    0.00      -0.041
     80.0   -64.487       0.001000     0.755    0.00      -0.043
     60.0   -57.394       0.001000     2.042    0.00      -0.079
     40.0   -47.971       0.001000     5.238    0.00      -0.126
     30.0   -40.729       0.001000     8.440    0.00      -0.162
     25.0   -26.527       0.001000    10.124    0.00      -0.233
