  N levels =   24          CBMF=    20.340     SST=    9.01 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     6.015       3.760527     0.048    0.00       1.041
    950.0     1.923       3.578193     0.051    0.00       1.356
    900.0    -1.849       2.722398     0.053    0.00       1.386
    850.0    -5.374       1.917452     0.056    0.00       1.471
    800.0    -8.859       1.208609     0.057    0.00       1.601
    750.0   -12.402       0.657523     0.059    0.00       1.587
    700.0   -16.270       0.329925     0.060    0.00       1.452
    650.0   -20.521       0.184665     0.061    0.00       1.290
    600.0   -25.288       0.111736     0.063    0.00       1.090
    550.0   -30.594       0.066168     0.066    0.00       0.875
    500.0   -36.575       0.044988     0.069    0.00       0.757
    450.0   -43.358       0.075636     0.073    0.00       0.743
    400.0   -50.831       0.094310     0.077    0.00       0.604
    350.0   -58.996       0.018614     0.085    0.00       0.490
    300.0   -67.830       0.007468     0.096    0.00       0.247
    250.0   -73.876       0.003612     0.117    0.00       0.063
    200.0   -72.228       0.001000     0.153    0.00       0.020
    150.0   -73.239       0.001000     0.202    0.00       0.000
    100.0   -72.469       0.001000     0.405    0.00      -0.003
     80.0   -69.981       0.001000     0.755    0.00      -0.016
     60.0   -63.605       0.001000     2.042    0.00      -0.048
     40.0   -55.065       0.001000     5.238    0.00      -0.090
     30.0   -48.721       0.001000     8.440    0.00      -0.122
     25.0   -37.557       0.001000    10.124    0.00      -0.178
