 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 26.774                 17.625                  0.799              
   950.000                 22.527                 17.336                  0.978              
   900.000                 20.840                 13.987                  0.840              
   850.000                 18.243                 12.012                  0.831              
   800.000                 15.836                 10.334                  0.817              
   750.000                 13.197                  8.896                  0.807              
   700.000                 10.351                  7.565                  0.800              
   650.000                  7.254                  6.322                  0.796              
   600.000                  4.291                  4.565                  0.789              
   550.000                  0.433                  3.453                  0.776              
   500.000                 -4.196                  2.649                  0.764              
   450.000                 -8.972                  2.002                  0.750              
   400.000                -14.455                  1.049                  0.742              
   350.000                -20.793                  0.395                  0.715              
   300.000                -29.086                  0.209                  0.673              
   250.000                -39.822                  0.186                  0.523              
   200.000                -52.831                  0.108                  0.597              
   150.000                -67.944                  0.015                  0.741              
   100.000                -68.277                  0.001                  0.530              
    80.000                -60.644                  0.001                  0.045              
    60.000                -52.601                  0.001                  0.008              
    40.000                -44.212                  0.001                  0.003              
    30.000                -38.252                  0.001                  0.001              
    25.000                -27.149                  0.001                  0.000              
