 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  8.102                  4.458                  0.747              
   950.000                  4.007                  4.298                  0.927              
   900.000                  0.543                  3.207                  0.784              
   850.000                 -3.060                  2.423                  0.740              
   800.000                 -6.501                  1.608                  0.672              
   750.000                -10.032                  0.923                  0.595              
   700.000                -13.767                  0.482                  0.530              
   650.000                -18.011                  0.251                  0.477              
   600.000                -22.768                  0.131                  0.431              
   550.000                -28.078                  0.070                  0.404              
   500.000                -33.971                  0.041                  0.407              
   450.000                -40.508                  0.027                  0.448              
   400.000                -47.801                  0.020                  0.491              
   350.000                -55.969                  0.017                  0.540              
   300.000                -65.090                  0.011                  0.598              
   250.000                -72.696                  0.004                  0.702              
   200.000                -69.315                  0.001                  0.467              
   150.000                -69.536                  0.001                  0.404              
   100.000                -68.163                  0.001                  0.258              
    80.000                -65.211                  0.001                  0.022              
    60.000                -58.116                  0.001                  0.007              
    40.000                -48.598                  0.001                  0.002              
    30.000                -41.152                  0.001                  0.001              
    25.000                -26.422                  0.001                  0.000              
