 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.962                  2.984                  0.622              
   950.000                 -1.135                  2.824                  0.795              
   900.000                 -4.921                  2.007                  0.726              
   850.000                 -8.477                  1.343                  0.630              
   800.000                -12.140                  0.849                  0.519              
   750.000                -15.930                  0.445                  0.379              
   700.000                -19.923                  0.218                  0.264              
   650.000                -24.354                  0.117                  0.197              
   600.000                -29.254                  0.064                  0.160              
   550.000                -34.654                  0.025                  0.122              
   500.000                -40.688                  0.019                  0.159              
   450.000                -47.353                  0.016                  0.261              
   400.000                -54.669                  0.014                  0.471              
   350.000                -62.753                  0.013                  0.967              
   300.000                -71.338                  0.004                  1.000              
   250.000                -74.972                  0.003                  1.000              
   200.000                -73.601                  0.001                  0.209              
   150.000                -74.156                  0.001                  0.169              
   100.000                -72.287                  0.001                  0.088              
    80.000                -68.811                  0.001                  0.044              
    60.000                -61.059                  0.001                  0.012              
    40.000                -50.767                  0.001                  0.002              
    30.000                -42.494                  0.001                  0.001              
    25.000                -26.078                  0.001                  0.000              
