  N levels =   24          CBMF=    14.420     SST=   17.19 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    14.238       7.045272     0.048    0.00       1.203
    950.0    10.087       6.831682     0.051    0.00       1.455
    900.0     7.000       5.129928     0.053    0.00       1.406
    850.0     3.578       3.943625     0.056    0.00       1.378
    800.0     0.173       2.775378     0.057    0.00       1.473
    750.0    -3.220       1.823087     0.059    0.00       1.589
    700.0    -6.538       1.063971     0.060    0.00       1.643
    650.0   -10.119       0.575343     0.061    0.00       1.555
    600.0   -14.111       0.288661     0.063    0.00       1.380
    550.0   -18.703       0.144520     0.066    0.00       1.169
    500.0   -24.109       0.089206     0.069    0.00       0.983
    450.0   -30.575       0.126906     0.073    0.00       0.913
    400.0   -38.185       0.250729     0.077    0.00       0.876
    350.0   -46.880       0.155925     0.085    0.00       0.714
    300.0   -56.310       0.030422     0.096    0.00       0.577
    250.0   -66.768       0.010065     0.117    0.00       0.211
    200.0   -66.724       0.001000     0.153    0.00      -0.008
    150.0   -68.438       0.001000     0.202    0.00      -0.005
    100.0   -69.530       0.001000     0.405    0.00      -0.004
     80.0   -69.077       0.001000     0.755    0.00      -0.004
     60.0   -65.614       0.001000     2.042    0.00      -0.008
     40.0   -61.007       0.001000     5.238    0.00      -0.012
     30.0   -58.949       0.001000     8.440    0.00      -0.014
     25.0   -58.250       0.001000    10.124    0.00      -0.013
