  N levels =   24          CBMF=    21.490     SST=    6.51 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.035       3.001776     0.048    0.00       0.870
    950.0    -1.062       2.842364     0.051    0.00       1.392
    900.0    -4.843       2.019365     0.053    0.00       1.425
    850.0    -8.398       1.347407     0.056    0.00       1.508
    800.0   -12.049       0.845668     0.057    0.00       1.609
    750.0   -15.819       0.457830     0.059    0.00       1.580
    700.0   -19.829       0.243219     0.060    0.00       1.473
    650.0   -24.304       0.127590     0.061    0.00       1.320
    600.0   -29.196       0.060882     0.063    0.00       1.131
    550.0   -34.562       0.025368     0.066    0.00       0.733
    500.0   -40.598       0.019324     0.069    0.00       0.564
    450.0   -47.263       0.016383     0.073    0.00       0.509
    400.0   -54.580       0.013975     0.077    0.00       0.374
    350.0   -62.669       0.013478     0.085    0.00       0.367
    300.0   -71.258       0.004485     0.096    0.00       0.073
    250.0   -74.946       0.003063     0.117    0.00       0.033
    200.0   -73.567       0.001000     0.153    0.00       0.006
    150.0   -74.122       0.001000     0.202    0.00       0.002
    100.0   -72.257       0.001000     0.405    0.00      -0.002
     80.0   -68.784       0.001000     0.755    0.00      -0.011
     60.0   -61.035       0.001000     2.042    0.00      -0.030
     40.0   -50.747       0.001000     5.238    0.00      -0.056
     30.0   -42.481       0.001000     8.440    0.00      -0.076
     25.0   -26.081       0.001000    10.124    0.00      -0.118
