  N levels =   24          CBMF=    21.582     SST=    6.47 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.979       2.988023     0.048    0.00       0.811
    950.0    -1.118       2.828315     0.051    0.00       1.397
    900.0    -4.903       2.010346     0.053    0.00       1.425
    850.0    -8.458       1.344560     0.056    0.00       1.507
    800.0   -12.120       0.849069     0.057    0.00       1.604
    750.0   -15.908       0.443990     0.059    0.00       1.580
    700.0   -19.895       0.219872     0.060    0.00       1.477
    650.0   -24.333       0.118733     0.061    0.00       1.330
    600.0   -29.237       0.064763     0.063    0.00       1.124
    550.0   -34.638       0.025292     0.066    0.00       0.687
    500.0   -40.675       0.019568     0.069    0.00       0.527
    450.0   -47.340       0.016592     0.073    0.00       0.458
    400.0   -54.654       0.014224     0.077    0.00       0.347
    350.0   -62.737       0.013038     0.085    0.00       0.331
    300.0   -71.319       0.004446     0.096    0.00       0.042
    250.0   -74.970       0.003051     0.117    0.00       0.016
    200.0   -73.598       0.001000     0.153    0.00       0.005
    150.0   -74.152       0.001000     0.202    0.00       0.002
    100.0   -72.283       0.001000     0.405    0.00      -0.000
     80.0   -68.807       0.001000     0.755    0.00      -0.004
     60.0   -61.055       0.001000     2.042    0.00      -0.012
     40.0   -50.763       0.001000     5.238    0.00      -0.024
     30.0   -42.491       0.001000     8.440    0.00      -0.033
     25.0   -26.079       0.001000    10.124    0.00      -0.054
