  N levels =   24          CBMF=    16.726     SST=   12.86 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     9.971       5.145066     0.048    0.00       1.362
    950.0     5.859       4.973154     0.051    0.00       1.566
    900.0     2.420       3.786796     0.053    0.00       1.503
    850.0    -1.240       2.973449     0.056    0.00       1.467
    800.0    -4.580       1.918245     0.057    0.00       1.554
    750.0    -7.835       1.075100     0.059    0.00       1.591
    700.0   -11.439       0.568942     0.060    0.00       1.538
    650.0   -15.383       0.280566     0.061    0.00       1.398
    600.0   -19.804       0.138048     0.063    0.00       1.201
    550.0   -24.862       0.080350     0.066    0.00       1.017
    500.0   -30.731       0.084350     0.069    0.00       0.953
    450.0   -37.542       0.160461     0.073    0.00       1.013
    400.0   -45.175       0.181034     0.077    0.00       1.004
    350.0   -53.608       0.047421     0.085    0.00       0.815
    300.0   -62.803       0.015259     0.096    0.00       0.636
    250.0   -71.554       0.005159     0.117    0.00       0.282
    200.0   -69.397       0.001000     0.153    0.00       0.085
    150.0   -71.007       0.001000     0.202    0.00      -0.021
    100.0   -70.928       0.001000     0.405    0.00      -0.022
     80.0   -68.745       0.001000     0.755    0.00      -0.044
     60.0   -62.376       0.001000     2.042    0.00      -0.108
     40.0   -53.928       0.001000     5.238    0.00      -0.192
     30.0   -47.950       0.001000     8.440    0.00      -0.252
     25.0   -37.719       0.001000    10.124    0.00      -0.354
