  N levels =   24          CBMF=    20.813     SST=    7.78 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.646       3.357246     0.048    0.00       0.980
    950.0     0.561       3.183657     0.051    0.00       1.368
    900.0    -3.259       2.376412     0.053    0.00       1.402
    850.0    -6.801       1.634336     0.056    0.00       1.504
    800.0   -10.407       1.033248     0.057    0.00       1.637
    750.0   -14.105       0.525390     0.059    0.00       1.611
    700.0   -17.990       0.239606     0.060    0.00       1.503
    650.0   -22.345       0.118290     0.061    0.00       1.333
    600.0   -27.192       0.069012     0.063    0.00       1.124
    550.0   -32.613       0.028647     0.066    0.00       0.821
    500.0   -38.651       0.020394     0.069    0.00       0.649
    450.0   -45.300       0.017250     0.073    0.00       0.640
    400.0   -52.571       0.012686     0.077    0.00       0.499
    350.0   -60.662       0.010660     0.085    0.00       0.435
    300.0   -69.680       0.005747     0.096    0.00       0.163
    250.0   -74.276       0.003398     0.117    0.00       0.034
    200.0   -73.076       0.001000     0.153    0.00       0.017
    150.0   -74.111       0.001000     0.202    0.00       0.001
    100.0   -73.166       0.001000     0.405    0.00       0.000
     80.0   -70.576       0.001000     0.755    0.00      -0.003
     60.0   -64.129       0.001000     2.042    0.00      -0.013
     40.0   -55.477       0.001000     5.238    0.00      -0.025
     30.0   -48.989       0.001000     8.440    0.00      -0.034
     25.0   -37.491       0.001000    10.124    0.00      -0.052
