 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.646                  3.357                  0.636              
   950.000                  0.561                  3.184                  0.804              
   900.000                 -3.259                  2.376                  0.742              
   850.000                 -6.801                  1.634                  0.663              
   800.000                -10.407                  1.033                  0.547              
   750.000                -14.105                  0.525                  0.393              
   700.000                -17.990                  0.240                  0.276              
   650.000                -22.345                  0.118                  0.204              
   600.000                -27.192                  0.069                  0.165              
   550.000                -32.613                  0.029                  0.145              
   500.000                -38.651                  0.020                  0.175              
   450.000                -45.300                  0.017                  0.311              
   400.000                -52.571                  0.013                  0.545              
   350.000                -60.662                  0.011                  0.758              
   300.000                -69.680                  0.006                  1.005              
   250.000                -74.276                  0.003                  1.001              
   200.000                -73.076                  0.001                  0.175              
   150.000                -74.111                  0.001                  0.149              
   100.000                -73.166                  0.001                  0.090              
    80.000                -70.576                  0.001                  0.051              
    60.000                -64.129                  0.001                  0.016              
    40.000                -55.477                  0.001                  0.004              
    30.000                -48.989                  0.001                  0.001              
    25.000                -37.491                  0.001                  0.000              
