  N levels =   24          CBMF=    21.500     SST=    6.52 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.045       3.003592     0.048    0.00       1.129
    950.0    -1.053       2.844097     0.051    0.00       1.501
    900.0    -4.830       2.025211     0.053    0.00       1.526
    850.0    -8.378       1.352824     0.056    0.00       1.543
    800.0   -12.031       0.859612     0.057    0.00       1.612
    750.0   -15.834       0.472183     0.059    0.00       1.590
    700.0   -19.864       0.220902     0.060    0.00       1.504
    650.0   -24.256       0.109866     0.061    0.00       1.380
    600.0   -29.134       0.061744     0.063    0.00       1.219
    550.0   -34.537       0.025135     0.066    0.00       0.920
    500.0   -40.575       0.019267     0.069    0.00       0.804
    450.0   -47.243       0.016369     0.073    0.00       0.802
    400.0   -54.562       0.013997     0.077    0.00       0.700
    350.0   -62.654       0.013514     0.085    0.00       0.630
    300.0   -71.244       0.004497     0.096    0.00       0.336
    250.0   -74.939       0.003066     0.117    0.00       0.213
    200.0   -73.558       0.001000     0.153    0.00       0.112
    150.0   -74.110       0.001000     0.202    0.00       0.029
    100.0   -72.250       0.001000     0.405    0.00      -0.001
     80.0   -68.779       0.001000     0.755    0.00      -0.007
     60.0   -61.030       0.001000     2.042    0.00      -0.020
     40.0   -50.743       0.001000     5.238    0.00      -0.037
     30.0   -42.478       0.001000     8.440    0.00      -0.051
     25.0   -26.082       0.001000    10.124    0.00      -0.079
