  N levels =   24          CBMF=    20.305     SST=    9.04 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     6.051       3.771243     0.048    0.00       1.009
    950.0     1.959       3.588887     0.051    0.00       1.331
    900.0    -1.811       2.734418     0.053    0.00       1.375
    850.0    -5.339       1.930277     0.056    0.00       1.461
    800.0    -8.826       1.217726     0.057    0.00       1.592
    750.0   -12.364       0.652690     0.059    0.00       1.571
    700.0   -16.203       0.331564     0.060    0.00       1.430
    650.0   -20.476       0.219139     0.061    0.00       1.267
    600.0   -25.301       0.107634     0.063    0.00       1.060
    550.0   -30.545       0.065701     0.066    0.00       0.844
    500.0   -36.518       0.044599     0.069    0.00       0.726
    450.0   -43.296       0.073760     0.073    0.00       0.718
    400.0   -50.764       0.090656     0.077    0.00       0.562
    350.0   -58.944       0.018777     0.085    0.00       0.476
    300.0   -67.773       0.007531     0.096    0.00       0.220
    250.0   -73.938       0.003577     0.117    0.00       0.072
    200.0   -72.413       0.001000     0.153    0.00       0.008
    150.0   -73.514       0.001000     0.202    0.00       0.002
    100.0   -72.766       0.001000     0.405    0.00      -0.003
     80.0   -70.245       0.001000     0.755    0.00      -0.019
     60.0   -63.776       0.001000     2.042    0.00      -0.063
     40.0   -55.153       0.001000     5.238    0.00      -0.120
     30.0   -48.755       0.001000     8.440    0.00      -0.163
     25.0   -37.511       0.001000    10.124    0.00      -0.237
