  N levels =   24          CBMF=    21.229     SST=    6.68 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.232       3.054742     0.048    0.00       1.056
    950.0    -0.864       2.896227     0.051    0.00       1.460
    900.0    -4.624       2.066818     0.053    0.00       1.469
    850.0    -8.166       1.377172     0.056    0.00       1.522
    800.0   -11.804       0.865866     0.057    0.00       1.617
    750.0   -15.587       0.464516     0.059    0.00       1.599
    700.0   -19.569       0.239235     0.060    0.00       1.501
    650.0   -24.015       0.130844     0.061    0.00       1.356
    600.0   -28.917       0.069233     0.063    0.00       1.167
    550.0   -34.298       0.026791     0.066    0.00       0.854
    500.0   -40.326       0.020283     0.069    0.00       0.708
    450.0   -46.993       0.017436     0.073    0.00       0.686
    400.0   -54.311       0.014935     0.077    0.00       0.564
    350.0   -62.403       0.013675     0.085    0.00       0.508
    300.0   -71.015       0.004656     0.096    0.00       0.228
    250.0   -74.804       0.003131     0.117    0.00       0.089
    200.0   -73.229       0.001000     0.153    0.00       0.036
    150.0   -73.747       0.001000     0.202    0.00       0.006
    100.0   -71.954       0.001000     0.405    0.00      -0.003
     80.0   -68.566       0.001000     0.755    0.00      -0.011
     60.0   -60.878       0.001000     2.042    0.00      -0.030
     40.0   -50.652       0.001000     5.238    0.00      -0.056
     30.0   -42.424       0.001000     8.440    0.00      -0.077
     25.0   -26.095       0.001000    10.124    0.00      -0.118
