  N levels =   24          CBMF=    21.548     SST=    6.49 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.006       2.993160     0.048    0.00       1.090
    950.0    -1.091       2.833549     0.051    0.00       1.476
    900.0    -4.873       2.012403     0.053    0.00       1.524
    850.0    -8.425       1.340779     0.056    0.00       1.546
    800.0   -12.070       0.846353     0.057    0.00       1.618
    750.0   -15.855       0.481146     0.059    0.00       1.598
    700.0   -19.920       0.241959     0.060    0.00       1.512
    650.0   -24.357       0.113919     0.061    0.00       1.390
    600.0   -29.213       0.051803     0.063    0.00       1.224
    550.0   -34.590       0.024951     0.066    0.00       0.902
    500.0   -40.640       0.019575     0.069    0.00       0.787
    450.0   -47.306       0.016607     0.073    0.00       0.771
    400.0   -54.621       0.014182     0.077    0.00       0.679
    350.0   -62.708       0.013419     0.085    0.00       0.644
    300.0   -71.293       0.004480     0.096    0.00       0.345
    250.0   -74.963       0.003054     0.117    0.00       0.239
    200.0   -73.587       0.001000     0.153    0.00       0.143
    150.0   -74.141       0.001000     0.202    0.00       0.054
    100.0   -72.273       0.001000     0.405    0.00      -0.001
     80.0   -68.798       0.001000     0.755    0.00      -0.005
     60.0   -61.047       0.001000     2.042    0.00      -0.015
     40.0   -50.756       0.001000     5.238    0.00      -0.027
     30.0   -42.487       0.001000     8.440    0.00      -0.038
     25.0   -26.080       0.001000    10.124    0.00      -0.060
