 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.034                  3.000                  0.692              
   950.000                 -1.064                  2.841                  0.867              
   900.000                 -4.844                  2.019                  0.764              
   850.000                 -8.393                  1.346                  0.701              
   800.000                -12.038                  0.851                  0.618              
   750.000                -15.827                  0.486                  0.519              
   700.000                -19.896                  0.240                  0.438              
   650.000                -24.318                  0.111                  0.386              
   600.000                -29.167                  0.055                  0.354              
   550.000                -34.550                  0.025                  0.327              
   500.000                -40.595                  0.019                  0.346              
   450.000                -47.262                  0.016                  0.421              
   400.000                -54.580                  0.014                  0.547              
   350.000                -62.671                  0.013                  0.782              
   300.000                -71.260                  0.004                  0.848              
   250.000                -74.946                  0.003                  0.855              
   200.000                -73.567                  0.001                  0.358              
   150.000                -74.123                  0.001                  0.306              
   100.000                -72.258                  0.001                  0.178              
    80.000                -68.785                  0.001                  0.034              
    60.000                -61.035                  0.001                  0.008              
    40.000                -50.747                  0.001                  0.002              
    30.000                -42.481                  0.001                  0.001              
    25.000                -26.081                  0.001                  0.000              
