  N levels =   24          CBMF=    20.376     SST=    7.89 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.767       3.379488     0.048    0.00       0.976
    950.0     0.682       3.203338     0.051    0.00       1.355
    900.0    -3.110       2.385222     0.053    0.00       1.394
    850.0    -6.609       1.628841     0.056    0.00       1.500
    800.0   -10.190       1.055626     0.057    0.00       1.634
    750.0   -13.930       0.610796     0.059    0.00       1.609
    700.0   -17.894       0.299852     0.060    0.00       1.482
    650.0   -22.222       0.156473     0.061    0.00       1.307
    600.0   -27.082       0.077855     0.063    0.00       1.091
    550.0   -32.431       0.036264     0.066    0.00       0.818
    500.0   -38.477       0.025351     0.069    0.00       0.663
    450.0   -45.209       0.022519     0.073    0.00       0.654
    400.0   -52.522       0.016430     0.077    0.00       0.507
    350.0   -60.601       0.012519     0.085    0.00       0.426
    300.0   -69.577       0.005844     0.096    0.00       0.159
    250.0   -74.203       0.003438     0.117    0.00       0.028
    200.0   -72.952       0.001000     0.153    0.00       0.014
    150.0   -73.986       0.001000     0.202    0.00       0.002
    100.0   -73.066       0.001000     0.405    0.00      -0.000
     80.0   -70.498       0.001000     0.755    0.00      -0.005
     60.0   -64.067       0.001000     2.042    0.00      -0.018
     40.0   -55.432       0.001000     5.238    0.00      -0.035
     30.0   -48.961       0.001000     8.440    0.00      -0.048
     25.0   -37.498       0.001000    10.124    0.00      -0.072
